Name,Website,Phone number,City,Location,Search cities,Website active,Website check,Final URL,Source,Detail URL
Associated Roof Svc Ltd,,250-763-5202,Kelowna,"202 Valley Rd N, Kelowna, BC, V1V 2G1, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Associated-Roof-Svc-Ltd/102851146.html
Avenue Exteriors,,250-212-5568,Kelowna,"BC, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Avenue-Exteriors/103078569.html
Beck's Roofing & Siding Ltd,https://www.becksroofingkelowna.ca/,236-499-0762,Kelowna,"BC, Canada",Kelowna; West Kelowna,Yes,"roofing content, name match, city match, regional match",https://www.becksroofing.ca/,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Beck-s-Roofing-Siding-Ltd/8161819.html
Best Quality Roofers,,604-757-8782,Kelowna,"114 - 3530 Alcan Rd, Kelowna, BC, V1X 7R4, Canada",Kelowna; Vancouver; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Best-Quality-Roofers/102193966.html
Best-Way Roofers Supply,http://www.bestwayrooferssupply.com/,250-763-4405,Kelowna,"2720 Highway 97 N, Kelowna, BC, V1X 4J7, Canada",Kelowna; West Kelowna,Yes,"roofing content, name match, city match",https://bwrsupply.com/,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Best-Way-Roofers-Supply/7521180.html
Black Mountain Roofing,,778-215-7663,Kelowna,"Kelowna, BC, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Black-Mountain-Roofing/101082922.html
C S A Roofing,http://www.csaroofing.com/,236-499-0771,Kelowna,"48 Caramillo Rd, Kelowna, BC, V1V 1B3, Canada",Kelowna; West Kelowna,Yes,"roofing content, city match, regional match",https://www.csaroofing.com/,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/C-S-A-Roofing/263350.html
CCR Roofing,,250-470-7854,Kelowna,"BC, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/CCR-Roofing/100945664.html
CJR Roofing Ltd,,250-870-2270,Kelowna,"BC, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/CJR-Roofing-Ltd/100945121.html
Canadian Roof,http://roofdoctor.ca/,250-451-9749,Kelowna,"3-715 Evans Crt, Kelowna, BC, V1X 6G4, Canada",Kelowna; West Kelowna,Yes,"roofing content, city match, regional match",https://www.roofdoctor.ca/,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Canadian-Roof/4284324.html
Canpac Roofing Distribution Lt,,250-762-7466,Kelowna,"Kelowna, BC, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Canpac-Roofing-Distribution-Lt/104763557.html
Central Roofing Systems ltd,,250-575-2842,Kelowna,"1107 Hudson Rd W, BC, V1Z 1J2, Canada",Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Central-Roofing-Systems-ltd/104450547.html
Cktown Roofing & Exteriors,,250-764-3842,Kelowna,"140 Commercial Dr, Kelowna, BC, V1X 7X6, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Cktown-Roofing-Exteriors/102855466.html
DAI Roofing,,250-863-3025,Kelowna,"410 Hartman Rd, Kelowna, BC, V1X 2N1, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/DAI-Roofing/100997322.html
Dales Roofing & Chimney,,250-718-2709,Kelowna,"BC, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Dales-Roofing-Chimney/100896574.html
Dazzling Roofing,,250-212-6667,Kelowna,"Kelowna, BC, V1Y 5W1, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Dazzling-Roofing/101117359.html
Done Wright Roofing,,250-863-4727,Kelowna,"BC, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Done-Wright-Roofing/100945017.html
E C Roofing,,250-215-1616,Kelowna,"4317 Hazell Road, Kelowna, BC, V1W 1P9, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/E-C-Roofing/3047966.html
Eagle Roofing,,250-212-9258,Kelowna,"Kelowna, BC, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Eagle-Roofing/101109568.html
Elevation Roofing,http://elevationroofing.ca/,250-868-9865,Kelowna,"1427 Gordon Dr, Kelowna, BC, V1Y 3G3, Canada",Kelowna; West Kelowna,No,"not reachable or parked: http://elevationroofing.ca/: HTTPConnectionPool(host='elevationroofing.ca', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='elevationroofing.ca', port=80): Failed to resolve 'elevationroofing.ca' ([Errno 11001] getaddrinfo failed)"")) | https://elevationroofing.ca/: HTTPSConnectionPool(host='elevationr",,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Elevation-Roofing/7590601.html
Elite Roofing Ltd,https://eliteroofing.ca/,250-762-3546,Kelowna,"4781 Old Vernon Rd, Kelowna, BC, V1X 7V6, Canada",Kelowna; West Kelowna,Yes,"roofing content, phone match, name match, city match, regional match",https://www.eliteroofing.ca/,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Elite-Roofing-Ltd/566952.html
Exteriors Plus,,250-491-3336,Kelowna,"3306 Highway 97 N, Kelowna, BC, V1X 5C2, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Exteriors-Plus/102553605.html
Fehr-Trade Eavestrough & Roofing,,250-469-4888,Kelowna,"777 Ellis St, Kelowna, BC, V1Y 0A1, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Fehr-Trade-Eavestrough-Roofing/8061500.html
Fenton Exteriors,,778-480-6453,Kelowna,"415 Commonwealth Rd, Kelowna, BC, V4V 1P4, Canada",West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Fenton-Exteriors/104354168.html
Firstline Roofing Ltd,,250-878-0577,Kelowna,"260 Bach Rd, Kelowna, BC, V1X 2K6, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Firstline-Roofing-Ltd/101529594.html
Fusion Roofing and Exteriors,https://business.site/,250-870-4561,Kelowna,"BC, Canada",Kelowna; West Kelowna,No,active HTTP but no roofing/company/local cross-reference,https://business.google.com/ca-en/business-profile/,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Fusion-Roofing-and-Exteriors/102677433.html
Goat Roofing,,250-575-8361,Kelowna,"831 Cadder Ave, Kelowna, BC, V1Y 5N7, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Goat-Roofing/102854916.html
Hamlet Roofing,,250-864-2364,Kelowna,"BC, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Hamlet-Roofing/100945709.html
J L Custom Insulation & Roofing Ltd,,250-862-3439,Kelowna,"2030 Hidden Ridge Pl, Kelowna, BC, V1V 2X8, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/J-L-Custom-Insulation-Roofing-Ltd/6602964.html
JSA Roofing & Sheet Metal,,250-681-3973,Kelowna,"BC, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/JSA-Roofing-Sheet-Metal/101038771.html
JV Roofing Ltd,https://jv-roofing.ca/,250-863-7172,Kelowna,"510 Bach Rd, Kelowna, BC, V1X 2K7, Canada",Kelowna; West Kelowna,Yes,"roofing content, phone match, city match, regional match",https://www.jv-roofing.ca/,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/JV-Roofing-Ltd/102478060.html
Jaden Roofing Ltd,,250-765-9459,Kelowna,"1855 Jonathan Rd, Kelowna, BC, V1P 1A9, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Jaden-Roofing-Ltd/3653869.html
Jattana Roofing & Renovation,,778-598-1399,Kelowna,"415 Fitzpatrick Rd, Kelowna, BC, V1X 5C8, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Jattana-Roofing-Renovation/104250260.html
Jay's Exteriors,,250-317-6644,Kelowna,"370 Hillaby Ave, Kelowna, BC, V1X 6G2, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Jay-s-Exteriors/5900699.html
Just Us Roofing,,250-470-9905,Kelowna,"12-1853 Edgehill Ave, Kelowna, BC, V1V 1X8, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Just-Us-Roofing/5840311.html
K -Town Roofing & Repairs,,250-258-0980,Kelowna,"BC, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/K-Town-Roofing-Repairs/104330023.html
K Town Roofing,,250-300-3154,Kelowna,"Kelowna, BC, V1X 4K3, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/K-Town-Roofing/100945830.html
Kelowna Roofing (1984) Ltd,,877-765-4441,Kelowna,"BC, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna-Roofing-1984-Ltd/7518667.html
Kelowna Roofing Ltd,https://kelowna-roofing.com/,250-765-4441,Kelowna,"3505 Alcan Rd, Kelowna, BC, V1X 7R3, Canada",Kelowna; West Kelowna,Yes,"roofing content, phone match, name match, city match, regional match",https://kelowna-roofing.com/,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Kelowna-Roofing-Ltd/6556707.html
Ktowns Experienced Roofers,,250-215-9882,Kelowna,"Kelowna, BC, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Ktowns-Experienced-Roofers/101130419.html
Laing Roofing,http://www.laingroofing.com/,250-765-3347,Kelowna,"BC, Canada",Kelowna; Vernon; West Kelowna,Yes,"roofing content, name match, city match, regional match",https://www.laingroofing.com/,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Laing-Roofing/100121507.html
Lake Country Roofing,,855-999-2253,Kelowna,"BC, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Lake-Country-Roofing/7966538.html
Lakeland Roofing,,236-361-3707,Kelowna,"2684-530 Gaston Ave, Kelowna, BC, V1Y 0A5, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Lakeland-Roofing/102856356.html
Lyon Roofing,,778-215-9517,Kelowna,"BC, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Lyon-Roofing/101202354.html
Madge Custom Roofing,http://www.madgeroofing.com/,250-765-1180,Kelowna,"684 Fitzpatrick Rd, Kelowna, BC, V1X 5E1, Canada",Kelowna; Vernon; West Kelowna,Yes,"roofing content, phone match, name match, city match, regional match",https://www.madgeroofing.com/,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Madge-Custom-Roofing/4384406.html
Madge Roofing Inc,http://www.madgecontracting.com/,306-948-5453,Kelowna,"Biggar, SK, S0K 0M0, Canada",Kelowna; West Kelowna,No,"not reachable or parked: http://www.madgecontracting.com/: HTTPConnectionPool(host='www.madgecontracting.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='www.madgecontracting.com', port=80): Failed to resolve 'www.madgecontracting.com' ([Errno 11001] getaddrinfo failed)"")) | https://www.madgecontracting.com/: HTTPSConnec",,YellowPages,https://www.yellowpages.ca/bus/Saskatchewan/Biggar/Madge-Roofing-Inc/5991806.html
Metal Roofing Expert,,778-821-0173,Kelowna,"Kelowna, BC, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Metal-Roofing-Expert/101115064.html
Middleton's Custom Roofing & Torch Works,,250-317-9692,Kelowna,"BC, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Middleton-s-Custom-Roofing-Torch-Works/4087032.html
Modern Roofing,,778-237-0751,Kelowna,"1270 Elwyn Rd, Kelowna, BC, V1X 1P6, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Modern-Roofing/104247464.html
Next Level Moss Treatment And Roof Cleaning,,778-760-3506,Kelowna,"201-1110 Harvey Ave, Kelowna, BC, V1Y 6E7, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Next-Level-Moss-Treatment-And-Roof-Cleaning/104524822.html
Okanagan Exteriors Inc.,,250-826-1595,Kelowna,"1537 Longley Cres, Kelowna, BC, V1P 1M9, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Okanagan-Exteriors-Inc/101529704.html
Okanagan Roofing,,250-769-1100,Kelowna,"82-1929 Highway 97 S, Kelowna, BC, V1Z 2Z1, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Okanagan-Roofing/2967059.html
Okanagan Roofing & Contracting,,250-575-1184,Kelowna,"Kelowna, BC, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Okanagan-Roofing-Contracting/104798804.html
Okanagan Sun Roofing,,250-864-7484,Kelowna,"495 Okaview Rd, Kelowna, BC, V1W 4M1, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Okanagan-Sun-Roofing/100527519.html
On Top Inspections 2012 Ltd,https://ontoproofconsulting.com/,250-808-9766,Kelowna,"BC, Canada",Kelowna; West Kelowna,Yes,"roofing content, phone match, name match, city match, regional match",https://ontoproofconsulting.com/,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/On-Top-Inspections-2012-Ltd/7937637.html
Orchard Roofing,https://orchardroofing.ca/,250-681-1891,Kelowna,"1525 Hollywood Rd S, Kelowna, BC, V1X 4P2, Canada",Kelowna; West Kelowna,Yes,"roofing content, phone match, name match, city match, regional match",https://www.orchardroofing.ca/,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Orchard-Roofing/101696504.html
Osland Roofing,https://www.oslandroofing.com/,250-870-6727,Kelowna,"BC, Canada",Kelowna; West Kelowna,Yes,"roofing content, phone match, name match, city match",https://www.oslandroofing.com/,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Osland-Roofing/103129909.html
Osoyoos Roofing,https://osoyoosroofing.ca/,250-485-2322,Kelowna,"Kelowna, BC, V1W 3K3, Canada",Kelowna; West Kelowna,Yes,"roofing content, phone match, name match, regional match",https://osoyoosroofing.ca/,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Osoyoos-Roofing/102657312.html
Pacific Interior Roof Consultants & Inspections Ltd,,250-258-3324,Kelowna,"Kelowna, BC, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Pacific-Interior-Roof-Consultants-Inspections-Ltd/104753922.html
Pinnacle Roofing Ltd,http://www.pinnacleroofing.ca/,778-753-6464,Kelowna,"1A-3316 Appaloosa Rd, Kelowna, BC, V1V 2W5, Canada",Kelowna; West Kelowna,Yes,"roofing content, phone match, name match, city match, regional match",https://www.pinnacleroofing.ca/,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Pinnacle-Roofing-Ltd/101527354.html
Pitch Masters Roofing Kelowna,http://pitchmasters.ca/,250-469-1022,Kelowna,"320 Prior Rd S, Kelowna, BC, V1X 2Y5, Canada",Kelowna; West Kelowna,Yes,"roofing content, phone match, name match, city match, regional match",https://pitchmasters.ca/,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Pitch-Masters-Roofing-Kelowna/102310783.html
Ponderosa Roofing,,403-593-0668,Kelowna,"AB, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/Alberta/Ponderosa-Roofing/102425675.html
Premium Roofing Ltd.,https://premiumroofingltd.com/,250-980-0913,Kelowna,"1502 Sutherland Ave #202, Kelowna, BC, V1Y 5Y6, Canada",Kelowna; West Kelowna,Yes,"roofing content, name match, city match, regional match",https://premiumroofingltd.com/,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Premium-Roofing-Ltd/105044457.html
Premuim Roofing Inc,,250-826-3311,Kelowna,"Kelowna, BC, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Premuim-Roofing-Inc/101493644.html
Rain Master Roofing,,778-214-7067,Kelowna,"BC, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Rain-Master-Roofing/100945459.html
Raisanen Roofing Ltd,,250-862-0584,Kelowna,"BC, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Raisanen-Roofing-Ltd/1302430.html
Reinco Roofing & Construction,,250-469-4101,Kelowna,"3168 Via Centrale, Kelowna, BC, V1V 2R6, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Reinco-Roofing-Construction/6632620.html
Reind Co Roofing,,250-212-8888,Kelowna,"2396 Charolais Rd, Kelowna, BC, V1Y 7Y8, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Reind-Co-Roofing/100526584.html
Robertson Roofing,,250-718-5957,Kelowna,"2215 Gallagher Rd, Kelowna, BC, V1P 1G9, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Robertson-Roofing/4092970.html
Robin Hood Roofing,,250-469-9391,Kelowna,"BC, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Robin-Hood-Roofing/101493822.html
Roof Doctor,http://www.roofdoctor.ca/,250-765-3013,Kelowna,"3-715 Evans Crt, Kelowna, BC, V1X 6G4, Canada",Kelowna; Penticton; Vernon; West Kelowna,Yes,"roofing content, phone match, name match, city match, regional match",https://www.roofdoctor.ca/,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Roof-Doctor/4302054.html
Roof Now,,778-363-7663,Kelowna,"BC, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Roof-Now/100788173.html
Ryder Roofing Ltd,http://ryderroofing.ca/,250-765-3191,Kelowna,"1-3350 Sexsmith Rd, Kelowna, BC, V1X 7S5, Canada",Kelowna; West Kelowna,No,"not reachable or parked: http://ryderroofing.ca/: HTTPConnectionPool(host='ryderroofing.ca', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='ryderroofing.ca', port=80): Failed to resolve 'ryderroofing.ca' ([Errno 11001] getaddrinfo failed)"")) | https://ryderroofing.ca/: HTTPSConnectionPool(host='ryderroofing.ca', port=443): M",,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Ryder-Roofing-Ltd/6469425.html
SV Roofing Ltd,http://svroofing.ca/,778-760-0400,Kelowna,"2851 Lakha Rd, Kelowna, BC, V1X 7W1, Canada",Kelowna; West Kelowna,Yes,"roofing content, city match, regional match",https://www.svroofing.ca/,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/SV-Roofing-Ltd/102360232.html
Sandher Roofing,,250-863-3154,Kelowna,"BC, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Sandher-Roofing/100945533.html
Shaughnessy Marsh Roofing,,250-317-9109,Kelowna,"2293 Woodlawn St, Kelowna, BC, V1Y 2T1, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Shaughnessy-Marsh-Roofing/100944944.html
Shinglecraft Roof Installations,,250-215-8657,Kelowna,"150 Sumac Rd E, Kelowna, BC, V1X 4T7, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Shinglecraft-Roof-Installations/104245562.html
Shonwise Roofing,,250-215-1931,Kelowna,"BC, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Shonwise-Roofing/100999032.html
SideJobs Roofing,,250-899-9859,Kelowna,"BC, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/SideJobs-Roofing/104762833.html
Skyline Roofing and Renos,,778-754-1608,Kelowna,"Kelowna, BC, V1X 4K3, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Skyline-Roofing-and-Renos/100486760.html
Stark Roofing,,778-583-6634,Kelowna,"Kelowna, BC, V1Z 3C5, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Stark-Roofing/101376645.html
Storm Roofing,,250-317-4862,Kelowna,"BC, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Storm-Roofing/100526717.html
Strictly Roofing & Exteriors,,250-801-3482,Kelowna,"207-2035 Baron Rd, Kelowna, BC, V1X 7G3, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Strictly-Roofing-Exteriors/101913118.html
Summerland roofing ltd,,778-559-1845,Kelowna,"82-1929 HIGHWAY 97, KELOWNA BC, V1Z 2Z1, Canada",Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/KELOWNA-BC/Summerland-roofing-ltd/105299099.html
Sun Valley Roofing Ltd,http://sunvalleyroofingltd.ca/,250-765-1900,Kelowna,"2851 Lakha Rd, Kelowna, BC, V1X 7W1, Canada",Kelowna; West Kelowna,No,"not reachable or parked: http://sunvalleyroofingltd.ca/: HTTPConnectionPool(host='sunvalleyroofingltd.ca', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='sunvalleyroofingltd.ca', port=80): Failed to resolve 'sunvalleyroofingltd.ca' ([Errno 11001] getaddrinfo failed)"")) | https://sunvalleyroofingltd.ca/: HTTPSConnectionPool(h",,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Sun-Valley-Roofing-Ltd/1526582.html
Super Duper Roofing,,613-661-7660,Kelowna,"201-1180 Sunset Dr, Kelowna, ON, Canada",West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/Ontario/Kelowna/Super-Duper-Roofing/100897359.html
Ted's Quality Roofing,,250-215-1322,Kelowna,"BC, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Ted-s-Quality-Roofing/100945399.html
Tomtar Roofing & Sheet Metal Ltd,http://tomtar.ca/,250-765-8122,Kelowna,"153 Pinto Rd, Kelowna, BC, V1V 2G9, Canada",Kelowna; West Kelowna,Yes,"roofing content, phone match, name match, city match, regional match",https://tomtar.ca/,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Tomtar-Roofing-Sheet-Metal-Ltd/1594877.html
Topline Exteriors Ltd,http://Toplineext.com/,250-212-0781,Kelowna,"BC, Canada",Kelowna; West Kelowna,Yes,"roofing content, name match",https://toplineext.com/,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Topline-Exteriors-Ltd/7985032.html
Torch on Specialist / Flat top Roofing,,250-870-7545,Kelowna,"BC, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Torch-on-Specialist-Flat-top-Roofing/100945683.html
Unit Roofing & Exteriors,,250-681-7525,Kelowna,"BC, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Unit-Roofing-Exteriors/103073825.html
United Champion Shinglers,,250-681-0329,Kelowna,"BC, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/United-Champion-Shinglers/100945697.html
Vista Roofing,,250-860-8832,Kelowna,"223-1889 Springfield Rd, Kelowna, BC, V1Y 5V5, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Vista-Roofing/104526965.html
West Country Roofing Ltd,,778-721-5553,Kelowna,"BC, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/West-Country-Roofing-Ltd/104552161.html
Wilderness Custom Exteriors Ltd,http://www.wildernesscustomexteriors.com/,250-258-9400,Kelowna,"4-690 McCurdy Rd, Kelowna, BC, V1X 2P5, Canada",Kelowna; West Kelowna,Yes,"roofing content, name match, city match, regional match",https://wildernesscustomexteriors.com/,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Kelowna/Wilderness-Custom-Exteriors-Ltd/4082541.html
Wynn's Roofing,http://wynnsroofing.com/,778-754-3550,Kelowna,"Westbank, BC, Canada",Kelowna,No,"not reachable or parked: http://wynnsroofing.com/: HTTPConnectionPool(host='wynnsroofing.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='wynnsroofing.com', port=80): Failed to resolve 'wynnsroofing.com' ([Errno 11001] getaddrinfo failed)"")) | https://wynnsroofing.com/: HTTPSConnectionPool(host='wynnsroofing.com', port=4",,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Westbank/Wynn-s-Roofing/100945558.html
New Era Roofing Solutions,,250-718-5719,Lake Country,"9730 Winview Rd, Lake Country, BC, V4V 1L6, Canada",Kelowna; West Kelowna,No,no website listed,,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Lake-Country/New-Era-Roofing-Solutions/101631052.html
21St Century Roofers Ltd,https://21stcentury.ca/,778-609-8515,Langley,"20094 Fernridge Cres, Langley, BC, V2Z 1X4, Canada",Delta; Langley; Surrey; White Rock,Yes,"roofing content, name match, city match, regional match",https://21stcentury.ca/,YellowPages,https://www.yellowpages.ca/bus/British-Columbia/Langley/21St-Century-Roofers-Ltd/102853346.html
